image_path,plate_text
"140x70_dataset/train/TMP-816-P_equalize_clip_limit2.0_grid_size(8, 8)_001_1.jpg",TMP-816-P
140x70_dataset/train/PM1-608-T_perspectiveX50_max_tilt0.5_001_1.jpg,PM1-608-T
140x70_dataset/train/YKC-432-S_downscaleX5_scale0.5_001_1.jpg,YKC-432-S
140x70_dataset/train/X5H-245-R_glass_blur_iterations3_max_offset2_001_1.jpg,X5H-245-R
140x70_dataset/train/H0R-701-K_random_fog_fog_intensity0.9_001.jpg,H0R-701-K
140x70_dataset/train/K1H-000-Y_downscaleX75_scale0.75_001_1.jpg,K1H-000-Y
140x70_dataset/train/VN4-927-N_illumination_alpha0.25_beta0_001_1.jpg,VN4-927-N
140x70_dataset/train/DS0-226-T_random_shadow_opacity0.3_001_1.jpg,DS0-226-T
140x70_dataset/train/UWM-745-P_color_jitter_brightness1.2_contrast1.2_saturation1.2_001_1.jpg,UWM-745-P
140x70_dataset/train/ZGL-828-F_rotationx75_max_angle75_001_1.jpg,ZGL-828-F
140x70_dataset/train/ZGC-926-S_defocus_blur_kernel_size15_001_1.jpg,ZGC-926-S
140x70_dataset/train/P4U-512-V_color_jitter_brightness1.2_contrast1.2_saturation1.2_001.jpg,P4U-512-V
"140x70_dataset/train/Y1S-187-J_random_rain_num_drops100_length_range(10, 20)_angle_range(-5, 5)_001_1.jpg",Y1S-187-J
140x70_dataset/train/TUV-394-X_channel_dropout_drop_probability0.33_001_1.jpg,TUV-394-X
140x70_dataset/train/TL5-403-Y_downscaleX25_scale0.25_001_1.jpg,TL5-403-Y
"140x70_dataset/train/WWZ-617-J_equalize_clip_limit2.0_grid_size(8, 8)_001_1.jpg",WWZ-617-J
140x70_dataset/train/SZF-697-F_motion_blur_kernel_size15_001_1.jpg,SZF-697-F
140x70_dataset/train/PS7-456-M_motion_blur_kernel_size15_001_1.jpg,PS7-456-M
140x70_dataset/train/DNH-179-R_downscaleX75_scale0.75_001_1.jpg,DNH-179-R
140x70_dataset/train/EH7-958-W_auto_contrast_cutoff0_001.jpg,EH7-958-W
